GROUP,,,,,,,,,,,,,,"[u'580:X_Voq(0mT)', u'4325:NB_Uout@0mT']"
DISTANCE,,,,,,,,,,,,,,near

RULE,MVBIN,SBIN,HBIN,Parameter, SBIN,HBIN,DIE_X,DIE_Y,SITE,TIME,TOTAL_TESTS,LOT_ID,WAFER_ID,1:rule5,1:rule5_zscore
PID-1196,0,1,1,PID-1196,1,1,40,41,1,7.378,267,249028,24,1.54348621567,0.51400815269
PID-1197,0,1,1,PID-1197,1,1,40,42,2,7.501,267,249028,24,0.341700495098,-1.58217526895
PID-1198,0,1,1,PID-1198,1,1,39,42,3,7.509,267,249028,24,1.10345441657,-0.109690614605
PID-1199,0,1,1,PID-1199,1,1,37,42,0,7.181,267,249028,24,0.754307941493,-0.680812259784
PID-12,0,1,1,PID-12,1,1,42,11,2,4.777,267,249028,24,2.364286667,1.54629718291
PID-120,0,1,1,PID-120,1,1,35,15,3,7.519,267,249028,24,1.3715066151,0.278895569443
PID-1200,0,1,1,PID-1200,1,1,38,42,1,7.232,267,249028,24,1.57592779846,0.556781460866
PID-1201,0,1,1,PID-1201,1,1,38,43,2,7.333,267,249028,24,2.48387487405,1.68780659264
PID-1202,0,1,1,PID-1202,1,1,37,43,3,7.342,267,249028,24,0.484409503609,-1.22144118425
PID-1203,0,1,1,PID-1203,1,1,35,42,0,7.202,267,249028,24,0.215614361624,-1.99432992026
PID-1204,0,1,1,PID-1204,1,1,36,42,1,7.281,267,249028,24,2.57251116231,1.79270357448
PID-1205,0,1,1,PID-1205,1,1,36,43,2,7.357,267,249028,24,0.782592758094,-0.631018439412
PID-1206,0,1,1,PID-1206,1,1,35,43,3,7.366,267,249028,24,1.74422616148,0.778412068735
PID-1207,0,1,1,PID-1207,1,1,34,42,1,6.042,267,249028,24,0.742217484597,-0.702429553953
PID-1208,0,1,1,PID-1208,1,1,34,43,2,6.098,267,249028,24,1.87956217271,0.950966899641
PID-1209,0,1,1,PID-1209,1,1,33,43,3,6.137,267,249028,24,1.31375035031,0.197370535773
PID-121,0,1,1,PID-121,1,1,33,14,0,7.223,267,249028,24,0.840734849474,-0.530528828755
PID-1210,0,1,1,PID-1210,1,1,31,42,0,5.823,267,249028,24,1.08709776998,-0.133979366428
PID-1211,0,1,1,PID-1211,1,1,32,43,2,5.847,267,249028,24,0.42457721317,-1.36355155767
PID-1212,0,1,1,PID-1212,1,1,31,43,3,5.919,267,249028,24,0.436555306342,-1.33420982649
PID-1213,0,1,1,PID-1213,1,1,32,41,0,7.158,267,249028,24,2.57026406242,1.79035463045
PID-1214,0,1,1,PID-1214,1,1,33,41,1,7.189,267,249028,24,0.573549399446,-1.02838611502
PID-1215,0,1,1,PID-1215,1,1,33,42,2,7.313,267,249028,24,0.858912670941,-0.500011617799
PID-1216,0,1,1,PID-1216,1,1,32,42,3,7.321,267,249028,24,1.05605544364,-0.181456346243
PID-1217,0,1,1,PID-1217,1,1,29,42,0,7.161,267,249028,24,0.88882095857,-0.449797923239
PID-1218,0,1,1,PID-1218,1,1,30,42,1,7.262,267,249028,24,2.03429215891,1.14498098771
PID-1219,0,1,1,PID-1219,1,1,30,43,2,7.318,267,249028,24,1.24502067057,0.100119870681
