#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
609,VFB18_4A,1,5.0033199787e-001 
610,TM_CHECK,1,9.9767794381e-007 
611,VO36_4A,1,3.4005200863e+000 
613,VFB36_4A,1,5.0013601780e-001 
614,TM_CHECK,1,9.7875897609e-007 
615,VO14_4A,1,1.2265100479e+000 
617,VFB14_4A,1,5.0025099516e-001 
618,Load_Reg,1,-1.8278299831e-004 
619,VO_Char,1,5.0016397238e-001 
620,TM_CHECK,1,9.9118199159e-007 
621,V_DO_TM,1,5.9313401580e-002 
622,I_DO_TM,1,5.0062900782e-001 
623,V_DO_RM,1,1.7226699740e-002 
624,I_DO_RM,1,1.0006799698e+000 
625,RATIO,1,3.4431099892e+000 
713,POK_LowV,1,3.3890800551e-003 
714,POK_del,1,7.0628600952e-005 

#########################################

#### RESULT packet 7 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,6 
PAT binning,6 
Tests executed,16 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-2.3393799365e-001 
302,PIN8 OUT2,1,-4.7288599610e-001 
303,PIN9 OUT3,1,-4.7166201472e-001 
304,PIN10 OUT4,1,-4.7164499760e-001 
305,PIN11 OUT5,1,-4.7192099690e-001 
306,PIN6 IN6,1,-6.2374997651e-004 
307,PIN7 OUT1,1,-9.5245102420e-004 
308,PIN3 IN3,1,-4.7146698833e-001 
309,PIN4 IN4,1,-4.7164300084e-001 
310,PIN5 IN5,1,-4.7167000175e-001 
311,PIN2 IN2,1,-4.7306099534e-001 
312,PIN26 POK,1,-4.8432698846e-001 
313,PIN30 EN,1,-4.8476999998e-001 
314,PIN27 FB,1,-4.8547899723e-001 
315,PIN29 OTP,1,-4.8456099629e-001 
316,EXPOSED_PAD,1,4.5497998595e-002 
401,Vfb_pre,0,n/a 
402,Vout_pre,0,n/a 
403,Vfb_err,0,n/a 
406,Vfb Err Post Expected,0,n/a 
407,Vref_post,0,n/a 
409,Vfb_post,0,n/a 
410,Ibias_pre,0,n/a 
411,Ibias_err,0,n/a 
