mysql> show table status;
+-------------------------+--------+---------+------------+------------+----------------+-------------+------------------+--------------+-----------+----------------+---------------------+---------------------+---------------------+-------------------+----------+----------------+-----------------------+
| Name                    | Engine | Version | Row_format | Rows       | Avg_row_length | Data_length | Max_data_length  | Index_length | Data_free | Auto_increment | Create_time         | Update_time         | Check_time          | Collation         | Checksum | Create_options | Comment               |
| product                 | MyISAM |      10 | Dynamic    |        121 |             20 |        2520 |  281474976710655 |         1024 |       100 |           NULL | 2008-11-07 14:45:54 | 2008-11-12 18:20:39 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| temp_parts              | InnoDB |      10 | Compact    |      61367 |             77 |     4734976 |                0 |      1589248 |         0 |           NULL | 2008-11-26 17:23:13 | NULL                | NULL                | latin1_swedish_ci |     NULL |                | InnoDB free: 11264 kB |
| temp_parts_sum          | InnoDB |      10 | Compact    |      61396 |             77 |     4734976 |                0 |      1589248 |         0 |           NULL | 2008-11-26 17:23:20 | NULL                | NULL                | latin1_swedish_ci |     NULL |                | InnoDB free: 11264 kB |
| temp_serie1             | InnoDB |      10 | Compact    |      42525 |             86 |     3686400 |                0 |      1589248 |         0 |           NULL | 2008-11-26 17:23:44 | NULL                | NULL                | latin1_swedish_ci |     NULL |                | InnoDB free: 11264 kB |
| temp_serie1_sum         | InnoDB |      10 | Compact    |      42546 |             86 |     3686400 |                0 |      1589248 |         0 |           NULL | 2008-11-26 17:23:28 | NULL                | NULL                | latin1_swedish_ci |     NULL |                | InnoDB free: 11264 kB |
| temp_serie2             | InnoDB |      10 | Compact    |      47198 |             78 |     3686400 |                0 |      1589248 |         0 |           NULL | 2008-11-26 17:23:39 | NULL                | NULL                | latin1_swedish_ci |     NULL |                | InnoDB free: 11264 kB |
| temp_serie2_sum         | InnoDB |      10 | Compact    |      43081 |             85 |     3686400 |                0 |      1589248 |         0 |           NULL | 2008-11-26 17:23:33 | NULL                | NULL                | latin1_swedish_ci |     NULL |                | InnoDB free: 11264 kB |
| vy_promis_info          | MyISAM |      10 | Dynamic    |         80 |            154 |       12364 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:46:10 | 2008-11-07 17:49:05 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| vy_promis_info_debug    | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:46:10 | 2008-11-07 14:46:10 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| wt_ftest_info           | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
